epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,17,,,1081.860107421875,332725664.0,4503.8701171875,1.3275774717330933,910.668212890625
0,17,172.3961639404297,,,,,,
1,35,,,1086.8726806640625,406014688.0,4928.92822265625,1.3200422525405884,940.5355834960938
1,35,117.52408599853516,,,,,,
2,49,,79.745849609375,,,,,
2,53,,,1079.9615478515625,299030304.0,4396.91796875,1.3138601779937744,938.9656982421875
2,53,103.7570571899414,,,,,,
3,71,,,1072.86865234375,353418240.0,4600.4287109375,1.314556360244751,932.483642578125
3,71,106.72297668457031,,,,,,
4,89,,,1089.126708984375,319942784.0,4830.1787109375,1.3179291486740112,928.1932373046875
4,89,107.90825653076172,,,,,,
5,99,,86.5019302368164,,,,,
5,107,,,1075.825927734375,281330048.0,4689.04296875,1.3129773139953613,958.9761352539062
5,107,102.16068267822266,,,,,,
6,125,,,1076.1829833984375,336733696.0,4665.32470703125,1.3087564706802368,959.497802734375
6,125,98.37360382080078,,,,,,
7,143,,,1074.2432861328125,304300352.0,4626.3603515625,1.306714415550232,957.2017211914062
7,143,96.47232055664062,,,,,,
8,149,,123.42204284667969,,,,,
8,161,,,1067.03369140625,215736640.0,4798.455078125,1.3076739311218262,919.585693359375
8,161,105.05929565429688,,,,,,
9,179,,,1070.8221435546875,175637984.0,4639.92236328125,1.3073357343673706,925.4797973632812
9,179,94.27167510986328,,,,,,
10,197,,,1069.728515625,224261264.0,4566.396484375,1.3003395795822144,919.2197265625
10,197,94.52674102783203,,,,,,
11,199,,61.69590759277344,,,,,
11,215,,,1070.6400146484375,181738576.0,4747.90966796875,1.2947036027908325,945.025634765625
11,215,99.57231903076172,,,,,,
12,233,,,1072.6412353515625,214019104.0,4842.1142578125,1.2976806163787842,976.931396484375
12,233,99.68096160888672,,,,,,
13,249,,99.33159637451172,,,,,
13,251,,,1083.3680419921875,227743616.0,4963.59228515625,1.2978132963180542,961.6719970703125
13,251,92.94863891601562,,,,,,
14,269,,,1084.02783203125,249978192.0,4802.77001953125,1.3063712120056152,972.3395385742188
14,269,92.9745101928711,,,,,,
15,287,,,1072.4117431640625,178060672.0,4607.13671875,1.307971477508545,956.092529296875
15,287,90.8709945678711,,,,,,
16,299,,106.64434814453125,,,,,
16,305,,,1070.921630859375,124679312.0,4551.54736328125,1.3029526472091675,943.1202392578125
16,305,93.96443939208984,,,,,,
17,323,,,1074.5556640625,206343968.0,4653.09765625,1.2985376119613647,959.1336669921875
17,323,90.99614715576172,,,,,,
18,341,,,1075.8323974609375,150106464.0,4705.35888671875,1.306485652923584,941.6219482421875
18,341,87.60568237304688,,,,,,
19,349,,51.7718391418457,,,,,
19,359,,,1078.4893798828125,158432608.0,4830.78173828125,1.302103042602539,943.6295776367188
19,359,91.77535247802734,,,,,,
20,377,,,1080.2791748046875,200440640.0,4892.2705078125,1.2939006090164185,959.8912963867188
20,377,90.13903045654297,,,,,,
21,395,,,1080.2034912109375,186477984.0,4834.10107421875,1.295778751373291,968.6438598632812
21,395,87.01626586914062,,,,,,
22,399,,116.6402587890625,,,,,
22,413,,,1069.391357421875,111414688.0,4614.73291015625,1.2967287302017212,974.219970703125
22,413,87.93761444091797,,,,,,
23,431,,,1075.3270263671875,199202368.0,4849.57568359375,1.2989864349365234,981.8717651367188
23,431,86.50330352783203,,,,,,
24,449,,134.9394989013672,,,,,
24,449,,,1075.53857421875,259294464.0,4831.865234375,1.2987529039382935,964.1502685546875
24,449,89.1904067993164,,,,,,
25,467,,,1071.5316162109375,154295664.0,4600.56005859375,1.300183892250061,966.4183959960938
25,467,89.36184692382812,,,,,,
26,485,,,1067.55224609375,147236160.0,4524.64892578125,1.2961275577545166,961.8783569335938
26,485,87.44588470458984,,,,,,
27,499,,69.76530456542969,,,,,
27,503,,,1069.49560546875,119513432.0,4594.73583984375,1.3081470727920532,973.1354370117188
27,503,83.53397369384766,,,,,,
28,521,,,1069.7508544921875,128982752.0,4377.87939453125,1.3168481588363647,944.396484375
28,521,79.99197387695312,,,,,,
29,539,,,1069.4493408203125,88165672.0,4696.6982421875,1.3063335418701172,944.3695678710938
29,539,89.06462097167969,,,,,,
