PRODUCT_ID,STORE_ID,WEEK_NO,display,mailer
26190,286,70,0,A
26190,288,70,0,A
26190,289,70,0,A
26190,292,70,0,A
26190,293,70,0,A
26190,295,70,0,A
26190,296,70,0,A
26190,297,70,0,A
26190,298,70,0,A
26190,299,70,0,A
26190,300,70,0,A
26190,304,70,5,A
26190,306,70,0,A
26190,309,70,5,A
26190,310,70,0,A
26190,311,70,0,A
26190,313,70,0,A
26190,315,70,0,A
26190,316,70,0,A
26190,317,70,0,A
26190,318,70,0,A
26190,319,70,5,A
26190,320,70,0,A
26190,321,70,0,A
26190,322,70,0,A
26190,323,70,5,A
26190,324,70,0,A
26190,327,70,0,A
26190,329,70,0,A
26190,330,70,0,A
26190,333,70,0,A
26190,334,70,5,A
26190,335,52,1,0
26190,335,70,0,A
26190,337,70,0,A
26190,338,70,5,A
26190,338,71,5,0
26190,339,70,0,A
26190,340,70,0,A
26190,341,70,1,A
26190,341,71,1,0
26190,341,73,4,0
26190,343,70,0,A
26190,345,70,0,A
26190,346,70,0,A
26190,352,70,0,A
26190,354,70,0,A
26190,355,70,0,A
26190,356,70,0,A
26190,358,70,0,A
26190,359,70,0,A
26190,360,70,0,A
26190,361,70,0,A
26190,362,70,0,A
26190,363,70,0,A
26190,364,70,0,A
26190,365,70,5,A
26190,365,71,5,0
26190,367,70,0,A
26190,368,70,0,A
26190,369,70,0,A
26190,369,71,4,0
26190,369,72,4,0
26190,370,70,0,A
26190,372,70,0,A
26190,375,70,0,A
26190,379,70,0,A
26190,380,70,0,A
26190,381,70,0,A
26190,382,70,3,A
26190,382,71,3,0
26190,384,70,0,A
26190,388,70,0,A
26190,389,70,0,A
26190,391,70,0,A
26190,396,70,0,A
26190,400,70,0,A
26190,401,70,0,A
26190,401,71,3,0
26190,402,70,0,A
26190,403,70,0,A
26190,404,70,0,A
26190,404,72,3,0
26190,406,70,0,A
26190,408,70,0,A
26190,408,71,5,0
26190,410,70,0,A
26190,412,70,0,A
26190,414,70,0,A
26190,420,70,0,A
26190,421,70,0,A
26190,422,70,0,A
26190,424,70,3,A
26190,427,70,0,A
26190,429,70,0,A
26190,432,70,0,A
26190,433,70,0,A
26190,436,70,0,A
26190,438,70,0,A
26190,439,70,0,A
26190,441,70,0,A
26190,442,70,0,A
26190,443,70,0,A
26190,445,70,0,A
26190,446,70,0,A
26190,447,70,0,A
26190,448,70,0,A
26190,450,70,0,A
26190,31401,70,0,A
26190,31582,70,0,A
26190,31642,70,3,A
26190,31642,71,3,0
26190,31742,70,5,A
26190,31742,71,5,0
26190,31762,70,0,A
26190,31782,70,0,A
26190,31862,70,0,A
26190,32004,70,0,A
26190,33923,70,0,A
26190,34007,70,5,A
26190,34011,70,0,A
26355,286,35,5,0
26355,286,37,5,0
26355,286,38,5,0
26355,286,41,5,0
26355,286,42,5,0
26355,286,43,5,0
26355,286,85,5,0
26355,286,87,5,0
26355,286,88,5,0
26355,286,89,5,0
26355,286,90,5,0
26355,286,91,1,0
26355,286,92,5,0
26355,288,32,5,0
26355,288,33,5,0
26355,288,34,5,0
26355,288,35,5,0
26355,288,36,9,0
26355,288,37,9,0
26355,288,38,9,0
26355,288,39,9,0
26355,289,33,3,0
26355,289,34,3,0
26355,289,35,3,0
26355,289,36,5,0
26355,289,37,5,0
26355,289,39,5,0
26355,289,40,5,0
26355,289,41,5,0
26355,289,84,3,0
26355,289,85,3,0
26355,289,86,3,0
26355,289,87,4,0
26355,289,88,3,0
26355,289,89,1,0
26355,289,90,1,0
26355,289,91,3,0
26355,292,83,A,0
26355,292,84,A,0
26355,292,85,A,0
26355,292,86,A,0
26355,292,87,6,0
26355,292,88,5,0
26355,292,89,9,0
26355,293,41,5,0
26355,293,91,7,0
26355,293,92,7,0
26355,295,34,5,0
26355,295,35,5,0
26355,295,36,5,0
26355,295,37,5,0
26355,295,38,9,0
26355,295,39,9,0
26355,295,93,5,0
26355,296,32,A,0
26355,296,33,A,0
26355,296,34,A,0
26355,296,35,A,0
26355,296,36,9,0
26355,296,37,9,0
26355,296,38,9,0
26355,296,39,2,0
26355,296,86,2,0
26355,296,87,2,0
26355,296,88,5,0
26355,296,89,2,0
26355,296,90,2,0
26355,297,33,A,0
26355,297,34,5,0
26355,297,36,5,0
26355,297,38,5,0
26355,297,85,5,0
26355,297,86,5,0
26355,297,87,5,0
26355,297,88,5,0
26355,297,90,9,0
26355,297,91,9,0
26355,297,92,9,0
26355,298,84,2,0
26355,298,85,2,0
26355,298,89,2,0
26355,299,33,7,0
26355,299,34,5,0
26355,299,35,5,0
26355,299,36,5,0
26355,299,37,5,0
26355,299,38,9,0
26355,299,39,3,0
26355,299,87,3,0
26355,299,88,3,0
26355,299,89,3,0
26355,299,90,3,0
26355,299,91,9,0
26355,299,92,9,0
26355,300,33,3,0
26355,300,34,7,0
26355,300,37,3,0
26355,300,38,3,0
26355,300,39,3,0
26355,300,40,7,0
26355,300,41,3,0
26355,300,85,5,0
26355,300,86,5,0
26355,300,87,5,0
26355,300,88,5,0
26355,300,89,9,0
26355,304,32,5,0
26355,304,34,5,0
26355,304,36,5,0
26355,304,37,5,0
26355,304,92,5,0
26355,306,32,3,0
26355,306,33,3,0
26355,306,34,3,0
26355,306,35,A,0
26355,306,39,5,0
26355,306,40,3,0
26355,306,41,3,0
26355,306,84,5,0
26355,306,85,5,0
26355,306,86,3,0
26355,306,87,3,0
26355,306,88,3,0
26355,309,35,A,0
26355,309,36,7,0
26355,309,37,A,0
26355,309,38,A,0
26355,309,39,A,0
26355,309,86,A,0
26355,309,87,A,0
26355,309,88,A,0
26355,309,89,A,0
26355,310,33,5,0
26355,310,41,7,0
26355,310,84,5,0
26355,310,85,5,0
26355,310,89,5,0
26355,310,90,5,0
26355,310,93,5,0
26355,311,32,1,0
26355,311,35,3,0
26355,311,36,3,0
26355,311,42,5,0
26355,311,86,1,0
26355,311,87,1,0
26355,311,89,1,0
26355,311,92,1,0
26355,313,33,5,0
26355,313,35,3,0
26355,313,36,3,0
26355,313,38,1,0
26355,313,89,3,0
26355,313,90,3,0
26355,315,33,4,0
26355,315,34,4,0
26355,315,36,4,0
26355,315,37,4,0
26355,315,38,4,0
