group_id,rmse,mae,mape,model
GROCERY,5438.531606992048,5435.013845279569,0.1256392492451597,ARIMA
GROCERY,3832.2184538992815,3008.033256530729,0.06195609692111692,ARIMA
GROCERY,6031.60797581148,6031.580350660955,0.1393374857310393,ARIMA
GROCERY,5532.1192991205435,4659.458096146009,0.09453146450151685,ARIMA
GROCERY,33568.38831446321,26786.321862984205,3.98742410125895,ARIMA
DRUG GM,880.5991979776531,766.2307280597179,0.05756548536265484,ARIMA
DRUG GM,2208.5828988757603,2188.309899144573,0.19390362236853775,ARIMA
DRUG GM,185.74767306488195,184.81683689401325,0.017041948642056194,ARIMA
DRUG GM,1396.641359425061,1370.4951343892535,0.12177769557917675,ARIMA
DRUG GM,7063.062410901292,5119.327105708433,2.1707600913217497,ARIMA
MEAT,548.8218736251682,402.69874414817605,0.07546696296098734,ARIMA
MEAT,553.5582023641753,452.76329568846586,0.06911583784382769,ARIMA
MEAT,1046.694813425206,980.4986902752821,0.18571980630566237,ARIMA
MEAT,567.1123490193721,427.2859443651464,0.06950780224171878,ARIMA
MEAT,3805.0236338730247,3041.1203407598678,4.6306734341734295,ARIMA
PRODUCE,745.2734254439189,583.0994364105527,0.1217215730419419,ARIMA
PRODUCE,879.3550024173874,692.5412335819851,0.10199831220716894,ARIMA
PRODUCE,776.9078633782758,563.5186518259643,0.0966840366336829,ARIMA
PRODUCE,581.6965866727121,546.7182500448507,0.08989743438775627,ARIMA
PRODUCE,3933.2824522880446,2822.284787749511,3.0981006947628584,ARIMA
KIOSK-GAS,167.8860121293952,150.52380197371485,0.029925093699074118,ARIMA
KIOSK-GAS,694.4277315997047,635.9598616176104,0.1400078529933501,ARIMA
KIOSK-GAS,719.9413276042204,712.1993731362013,0.12675183983870858,ARIMA
KIOSK-GAS,493.7980771114461,439.2971627174147,0.08712979316743605,ARIMA
KIOSK-GAS,2838.1920968722966,2218.2272929985534,2.1287954910376747,ARIMA
MEAT-PCKGD,1399.5649951651567,1399.4985182324701,0.3641547214612454,ARIMA
MEAT-PCKGD,1306.0269430655073,1008.017982711219,0.18024206071175547,ARIMA
MEAT-PCKGD,1773.9587678904825,1764.5791754902273,0.42660909408518,ARIMA
MEAT-PCKGD,684.0873619034988,570.9664205739355,0.1130325616131028,ARIMA
MEAT-PCKGD,3040.0076318235983,2275.7752261730593,3.720405696368858,ARIMA
DELI,574.8031914876916,436.54157678771594,0.1303125415063804,ARIMA
DELI,482.49400303957844,475.5447072878883,0.16548092937242498,ARIMA
DELI,250.89541764278553,204.31028386509138,0.08127437068673778,ARIMA
DELI,376.94744134198044,347.61213011011364,0.12774048085593157,ARIMA
DELI,1790.1016659683119,1323.4462589704506,2.913484304987429,ARIMA
PASTRY,60.74071067811447,47.46038382916288,0.033155063883806,ARIMA
PASTRY,369.30494848371205,366.64951086242195,0.32850754231723933,ARIMA
PASTRY,136.1016356597426,135.99224238891645,0.11568893064864563,ARIMA
PASTRY,145.37177352142814,138.89809458047137,0.10697595592906195,ARIMA
PASTRY,717.3095692004752,529.5853102120668,1.7387051680832464,ARIMA
MISC SALES TRAN,708.3576971928793,506.3003927618846,0.24178956372796792,ARIMA
MISC SALES TRAN,728.1027436002663,722.4614047967625,0.775499133394068,ARIMA
MISC SALES TRAN,315.48698733213627,231.50395093121188,0.3209389924205907,ARIMA
MISC SALES TRAN,234.14320418153196,209.56718495191842,0.1910440746719742,ARIMA
MISC SALES TRAN,531.336429407327,429.4169002715936,1.542525933128631,ARIMA
NUTRITION,60.511988645516304,51.71893131894706,0.06124987487763535,ARIMA
NUTRITION,180.53607014365846,177.59601947033195,0.1658520349462442,ARIMA
NUTRITION,133.03392953147684,101.40714249411155,0.08288841466850115,ARIMA
NUTRITION,146.8549138105452,145.71394264196897,0.14076154866716709,ARIMA
NUTRITION,652.6659431622002,491.6022523336903,3.2742615975546645,ARIMA
GROCERY,10793.93359301018,10793.922552168078,0.2494084642409935,Prophet
GROCERY,8244.980902236568,7856.179666764267,0.17408894280635245,Prophet
GROCERY,11374.45382645973,11363.533591020387,0.26251767918542845,Prophet
GROCERY,9052.770447976563,7958.650629689349,0.1823433138467715,Prophet
GROCERY,35460.207620514855,29125.291176963976,4.207515824345788,Prophet
DRUG GM,766.0433678805445,699.6547402722681,0.05442448137125562,Prophet
DRUG GM,1172.4855113447686,1113.9992597722376,0.09921542345785726,Prophet
DRUG GM,1536.1909710125215,1535.784641161522,0.14158483583016784,Prophet
DRUG GM,3160.005514383447,2904.978942721007,0.2782384624885923,Prophet
DRUG GM,8403.981568766643,6576.016578268017,2.608695445380808,Prophet
MEAT,1864.0690252920217,1840.5088330711865,0.3287052487879255,Prophet
MEAT,1146.1505958116365,1118.0269424561388,0.17898383680842866,Prophet
MEAT,2118.5607612145454,2074.6894750106753,0.38868386377239483,Prophet
MEAT,1659.3358515507027,1616.4810301151556,0.28623675643304114,Prophet
MEAT,4837.901420216586,3710.5240339753573,5.896168599995339,Prophet
PRODUCE,1654.0298505806154,1564.3641791922219,0.3111683206618089,Prophet
PRODUCE,994.7686673940976,778.7733885560233,0.14208270935898382,Prophet
PRODUCE,934.7769850933611,898.989378665779,0.15094175942216043,Prophet
PRODUCE,1187.2785423238386,1049.2701326080582,0.18900029780342015,Prophet
PRODUCE,4392.758695647696,3495.270084767803,3.489735625545959,Prophet
KIOSK-GAS,2496.6874651162575,2494.844535266557,0.48788101923862287,Prophet
KIOSK-GAS,2803.435973209758,2796.554255232456,0.6025133653634906,Prophet
KIOSK-GAS,1664.8224882546972,1655.7060724533994,0.29602126891443437,Prophet
KIOSK-GAS,2014.9270662824692,1950.0961201980763,0.3789761790172165,Prophet
KIOSK-GAS,4599.340603442589,3992.4565887867784,3.442491861718025,Prophet
MEAT-PCKGD,1479.1515260406366,1478.1670225077266,0.3846479348581232,Prophet
MEAT-PCKGD,844.0520292758197,800.5852375304421,0.17602875673970253,Prophet
MEAT-PCKGD,1199.2332043239264,1198.0657732059365,0.2892535108440769,Prophet
MEAT-PCKGD,797.3452530461516,587.6616257042406,0.14082394655187855,Prophet
MEAT-PCKGD,3432.868136358165,2728.867947069803,4.2093979206107655,Prophet
DELI,521.0099826272905,409.81048142365194,0.15620794142088368,Prophet
DELI,501.0754627363482,498.6772439208023,0.17344697651101731,Prophet
DELI,832.5494000198174,824.898604090565,0.3221014697825054,Prophet
DELI,824.9026707833602,752.9753042925036,0.3120696183819702,Prophet
DELI,2120.7087614547377,1789.0388253135604,3.469418754129109,Prophet
PASTRY,236.8427736615956,234.79111042688282,0.16048393542916334,Prophet
PASTRY,607.7210240149361,607.0245129792436,0.5422659522928475,Prophet
PASTRY,501.09892290750366,486.7436564345297,0.4235247840149291,Prophet
PASTRY,407.98819140722236,385.78167328769405,0.320314342743806,Prophet
PASTRY,985.1845305635264,830.8988118574678,2.4241880269739102,Prophet
MISC SALES TRAN,452.25913510396566,435.3174755475668,0.26202351026255466,Prophet
MISC SALES TRAN,708.0242113152359,702.9568162357848,0.7754140270327397,Prophet
MISC SALES TRAN,697.9682083946017,676.1011454061912,0.8267726144302721,Prophet
MISC SALES TRAN,515.3714103245779,483.85833433139663,0.506187324334316,Prophet
MISC SALES TRAN,912.8186469040002,775.8592825635346,2.6527501713809354,Prophet
NUTRITION,285.4348267496712,284.7215210344519,0.3307031113753067,Prophet
NUTRITION,75.78929454972624,72.72079832279564,0.06888385901791635,Prophet
NUTRITION,72.709598835115,71.73598560590744,0.0631287688899375,Prophet
NUTRITION,169.32490362751759,169.28598135970628,0.1633054169749378,Prophet
NUTRITION,782.0635764534168,647.7343189424716,3.929287812870729,Prophet
ALL_TOP10,4696.698840675224,1069.449462890625,2.3584861755371094,TFT
