term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,-0.5310753002305144,0.22684570772184715,-2.3411300375218316,0.0194128632097794,-0.9762007646977674,-0.08594983576326143
C(group_id)[T.CHARITABLE CONT],0.314117162145949,0.9560192964211249,0.32856780540084507,0.7425482770187288,-1.5618210587390022,2.1900553830309004
C(group_id)[T.CHEF SHOPPE],0.7080939424682959,0.29427241277665916,2.406253225665807,0.016290031789965437,0.13066117667964738,1.2855267082569446
C(group_id)[T.CNTRL/STORE SUP],-0.566752147244309,0.520051452146106,-1.0898001436309472,0.27605266859297656,-1.5872173194011046,0.45371302491248644
C(group_id)[T.COSMETICS],3.3493325878154434,0.25843635504297136,12.959990041875242,9.990926147594542e-36,2.842218727346099,3.856446448284788
C(group_id)[T.COUP/STR & MFG],1.3852222982515885,0.2959412740720801,4.680733711764047,3.234486151337315e-06,0.8045148279657028,1.9659297685374741
C(group_id)[T.DAIRY DELI],1.6722006491107568,0.4695941908221319,3.5609483289884563,0.0003861732292809704,0.7507446762380813,2.5936566219834325
C(group_id)[T.DELI],5.74659289806624,0.24923129382206233,23.05726865170068,2.0751145363484117e-95,5.257541566496189,6.23564422963629
C(group_id)[T.DRUG GM],7.37907391403218,0.25164981530975494,29.32278692495483,2.295331017563706e-138,6.885276865598695,7.872870962465664
C(group_id)[T.FLORAL],3.3846633561705644,0.24736764670977923,13.682724483940195,2.5480145767419692e-39,2.8992689453983065,3.870057766942822
C(group_id)[T.FROZEN GROCERY],0.3408381883220018,0.2628781786397764,1.2965632601595831,0.19506800536061047,-0.1749915910486332,0.8566679676926368
C(group_id)[T.GARDEN CENTER],1.7175628914543724,0.25941414454829087,6.6209299976495375,5.6999412294929554e-11,1.2085303744141032,2.2265954084946413
C(group_id)[T.GM MERCH EXP],-0.455805675904738,0.7006880253699048,-0.650511582046961,0.515504951275858,-1.8307229528137565,0.9191116010042806
C(group_id)[T.GROCERY],8.946983765684205,0.26540850481349904,33.710237627732376,3.8146456063894524e-169,8.426188881949713,9.467778649418698
C(group_id)[T.HBC],-0.471869183450882,0.512199504771214,-0.9212605226193132,0.3571272591242797,-1.4769269592882952,0.533188592386531
C(group_id)[T.HOUSEWARES],0.2904916417272569,0.9495780850447884,0.30591653946347697,0.7597291824440413,-1.5728073838455257,2.1537906673000395
C(group_id)[T.KIOSK-GAS],13.602322537270332,0.2720231578133408,50.00428142446641,2.3261285189635914e-279,13.068548124328903,14.136096950211762
C(group_id)[T.MEAT],5.929093739148229,0.27200005951262896,21.798133977514592,4.062443337568037e-87,5.3953646505902135,6.462822827706244
C(group_id)[T.MEAT-PCKGD],6.179780324368817,0.27002914392781163,22.885604992403678,2.8626718382660873e-94,5.649918642974588,6.709642005763047
C(group_id)[T.MISC SALES TRAN],11.11575767670188,0.24850899741614638,44.72979969448646,6.773021886351761e-245,10.628123663212897,11.603391690190865
C(group_id)[T.MISC. TRANS.],2.602385756815169,0.24987901447314537,10.41458308254553,3.118986340560412e-24,2.1120634426087097,3.0927080710216286
C(group_id)[T.NUTRITION],5.1275093169434705,0.2539980900611197,20.187196351396327,9.054277491416057e-77,4.629104392522843,5.625914241364098
C(group_id)[T.PASTRY],5.322737186352677,0.25578351086958506,20.809539943591407,9.937880101713939e-81,4.820828839828017,5.824645532877338
C(group_id)[T.PORK],-0.06975925247874933,0.6872095614763366,-0.10151088749243402,0.9191644071475435,-1.4182285636705314,1.2787100587130327
C(group_id)[T.POSTAL CENTER],0.07977490910102827,0.949998145290676,0.08397375247150521,0.9330933992541032,-1.784348375012649,1.9438981932147055
C(group_id)[T.PROD-WHS SALES],-0.03045923282550115,0.9487472108280406,-0.032104687611062555,0.974394701648329,-1.8921278847167275,1.8312094190657253
C(group_id)[T.PRODUCE],7.185866329885411,0.2563965856974689,28.026372934483067,2.5261017586191577e-129,6.6827549841051965,7.688977675665626
C(group_id)[T.RESTAURANT],0.5762429045930406,0.25745461067062203,2.238231053978927,0.025416174067738623,0.07105546108841965,1.0814303480976615
C(group_id)[T.RX],-0.33435648327278317,0.5737123116205246,-0.5827946803657569,0.5601573792170229,-1.4601170795182317,0.7914041129726652
C(group_id)[T.SALAD BAR],3.9957730670915645,0.24784369879348261,16.122149106647527,2.1931141021694563e-52,3.5094445284180247,4.482101605765105
C(group_id)[T.SEAFOOD],2.6566056478604763,0.2676091096966254,9.927186899101203,2.9600109666593374e-22,2.1314926516937596,3.181718644027193
C(group_id)[T.SEAFOOD-PCKGD],3.6871559692359788,0.2745572893740729,13.429459394947557,4.796045981750652e-38,3.1484089848523986,4.225902953619559
C(group_id)[T.SPIRITS],2.513095888037325,0.24845404559752607,10.114932449553756,5.2316953001516634e-23,2.02556970314264,3.0006220729320097
C(group_id)[T.TOYS],-0.6330382781936583,0.6881233871934893,-0.9199487911252434,0.35781202854986693,-1.9833007337251538,0.7172241773378372
C(group_id)[T.TRAVEL & LEISUR],1.410367856790001,0.25276501682790203,5.579758917944987,3.0682762248249324e-08,0.914382516593251,1.906353196986751
C(group_id)[T.VIDEO RENTAL],0.12919022620069204,0.5445325380498982,0.23724978247094886,0.8125095646058421,-0.9393126842189319,1.197693136620316
ln_p,-0.02365265861896478,0.05139719822633916,-0.4601935404106068,0.6454731354758667,-0.12450623862528079,0.07720092138735124
discount_rate,2.530195469250266,0.5023971737463366,5.03624542786098,5.590362188107248e-07,1.5443722083354825,3.51601873016505
weekofyear,0.033311223253730454,0.0021167386576623442,15.737050548563355,3.108971501383091e-50,0.02915767638872624,0.03746477011873467
