week_no,group_id,qty,avg_price,discount_rate,weekofyear,neural_eps
4,SALAD BAR,40,3.0411274509803925,0.04031729859544429,4,1.7092108
4,SEAFOOD,12,5.948181818181819,0.2966398485565546,4,2.0584455
4,SEAFOOD-PCKGD,28,3.4180952380952383,0.21324717285945075,4,1.8963076
4,SPIRITS,5,10.615,0.0,4,2.0953403
4,TRAVEL & LEISUR,1,2.91,0.0,4,1.7092108
5,COSMETICS,20,3.370526315789474,0.07275056947608201,5,1.8305781
5,COUP/STR & MFG,1,0.0021392087411664174,0.0,5,-0.9762704
5,DELI,169,3.6449382716049383,0.08493326565345914,5,1.9097234
5,DRUG GM,951,3.1689752597129646,0.07747714728547334,5,1.7672045
5,FLORAL,7,7.321666666666666,0.0,5,2.0386095
5,FROZEN GROCERY,1,1.69,0.0,5,1.2248949
5,GARDEN CENTER,1,1.79,0.0,5,1.3962224
5,GROCERY,5888,2.037419605677663,0.1786752017102113,5,1.5080144
5,KIOSK-GAS,92653,0.5852984167924862,0.015275204086743124,5,-0.09740659
5,MEAT,399,4.195453743787077,0.2744350775236589,5,1.8963076
5,MEAT-PCKGD,401,3.1982895779873903,0.2116439131970124,5,1.8287467
5,MISC SALES TRAN,9,2.4566666666666666,0.0,5,1.7078933
5,MISC. TRANS.,4,2.5075,0.0,5,1.7078933
5,NUTRITION,82,2.132307692307692,0.05283403099898178,5,1.5664585
5,PASTRY,165,2.844128415300547,0.09662942579776554,5,1.7092108
5,PRODUCE,867,1.8839171957671959,0.17052023121387283,5,1.4001234
5,RESTAURANT,1,1.95,0.0,5,1.4115218
5,SALAD BAR,40,2.615490196078431,0.023836231071228266,5,1.7078933
5,SEAFOOD,7,4.595714285714286,0.2520344106021855,5,2.0177352
5,SEAFOOD-PCKGD,25,5.338636363636364,0.20276525398256687,5,2.0175557
5,SPIRITS,14,8.433076923076923,0.0,5,2.0634534
5,TRAVEL & LEISUR,1,3.38,0.0,5,1.8715218
6,CHEF SHOPPE,2,3.99,0.0,6,1.9506671
6,COSMETICS,41,3.0953468345354618,0.32591768631813123,6,1.7868538
6,COUP/STR & MFG,4,0.0021392087411664174,0.0,6,-0.9762704
6,DELI,203,3.7916751269035536,0.06641339524412551,6,1.9506671
6,DRUG GM,1147,3.1221658420009324,0.09353404403492793,6,1.7672045
6,FLORAL,12,9.211,0.0,6,2.0634534
6,GARDEN CENTER,8,6.1642857142857155,0.0,6,2.0167952
6,GROCERY,7549,2.0506353617682413,0.20341493589580628,6,1.5465298
6,KIOSK-GAS,96866,0.585308462810238,0.021944922547332185,6,-0.14035265
6,MEAT,404,4.785122502628812,0.16719569139577464,6,1.9810768
6,MEAT-PCKGD,495,2.85174025974026,0.2237865207775579,6,1.6876987
6,MISC SALES TRAN,3112,5.078626092980089,0.00011470520761642578,6,1.9803163
6,MISC. TRANS.,3,4.3966666666666665,0.0,6,1.9506671
6,NUTRITION,168,2.126521739130435,0.11995563518471121,6,1.5751411
6,PASTRY,137,2.7661009174311926,0.10323908568952442,6,1.7078933
6,PRODUCE,1118,1.859959669299786,0.12341921800160129,6,1.3184617
6,SALAD BAR,39,3.443571428571429,0.0,6,1.8715218
6,SEAFOOD,11,5.911,0.12620045989449483,6,2.0175557
6,SEAFOOD-PCKGD,54,4.037972972972973,0.3007653352625367,6,1.9086504
6,SPIRITS,9,10.7375,0.0,6,2.1050375
7,CHEF SHOPPE,2,3.49,0.0,7,1.8715218
7,COSMETICS,36,3.483235294117647,0.1864704217378998,7,1.8604578
7,COUP/STR & MFG,1,2.99,0.0,7,1.7395557
7,DELI,249,4.069567547723936,0.07332785332642376,7,1.9506671
7,DRUG GM,1421,3.0309881214675944,0.08931940959247854,7,1.7672045
7,FLORAL,59,9.293653846153846,0.002905883559536426,7,2.045058
7,FROZEN GROCERY,4,1.2233333333333334,0.0,7,0.9484544
7,GARDEN CENTER,30,10.3425,0.0,7,2.1050375
7,GROCERY,7279,2.1202888961091184,0.176797137361121,7,1.5465298
7,KIOSK-GAS,254576,0.30206890456303476,0.011931507107931054,7,-0.7692896
7,MEAT,436,5.283698051948051,0.17815537784804306,7,2.0175557
7,MEAT-PCKGD,500,3.096282383419689,0.1813631262569584,7,1.7679651
7,MISC SALES TRAN,21163,2.3993765007909866,0.008954008954008953,7,1.6913923
7,MISC. TRANS.,4,3.14,0.0,7,1.7934719
7,NUTRITION,137,2.351484167059886,0.11448834853090172,7,1.662607
7,PASTRY,185,3.564130434782609,0.0724858843277888,7,1.9323033
7,PRODUCE,1192,1.8726230568297657,0.11017638566907584,7,1.3184617
7,SALAD BAR,43,2.986527777777778,0.0,7,1.7395557
7,SEAFOOD,19,4.402500000000001,0.31851369912528016,7,1.9209456
7,SEAFOOD-PCKGD,70,4.020956529126526,0.3165743073047859,7,1.9086504
7,SPIRITS,12,10.863636363636363,0.0,7,2.1050375
7,TRAVEL & LEISUR,1,1.82,0.0,7,1.3821499
8,AUTOMOTIVE,1,4.45,0.0,8,1.96301
8,COSMETICS,36,2.901796315681283,0.2841854124062713,8,1.708766
8,DELI,291,3.851556776556776,0.06226448200663419,8,1.9323033
8,DRUG GM,1507,3.1289944541739643,0.08097213054182079,8,1.7989156
8,FLORAL,23,7.649772727272728,0.016617736664266327,8,2.0386095
8,FROZEN GROCERY,10,0.601,0.06821705426356589,8,-0.1614287
8,GARDEN CENTER,22,2.815,0.0,8,1.7078933
8,GROCERY,8743,2.129435439496195,0.18151513414214052,8,1.5465298
8,HOUSEWARES,1,2.99,0.0,8,1.7712668
8,KIOSK-GAS,483775,0.0021413796563473884,0.019430238051225176,8,-0.9762704
8,MEAT,538,4.749504273504273,0.21580195308753838,8,1.9810768
8,MEAT-PCKGD,635,2.978566489760784,0.18879714549545915,8,1.738419
8,MISC SALES TRAN,127790,2.484985552240849,0.016023963240853836,8,1.6913923
8,MISC. TRANS.,5,4.474,0.015571155073388642,8,1.96301
8,NUTRITION,169,2.02233918128655,0.12911116350347757,8,1.4339789
8,PASTRY,227,3.089697092122956,0.07865821115750478,8,1.7989156
8,PRODUCE,1263,1.8331337475695664,0.11683540667357296,8,1.2644286
8,RESTAURANT,2,5.83,0.0,8,2.0167952
8,SALAD BAR,58,3.9024528301886794,0.0,8,1.9323033
8,SEAFOOD,19,5.231875,0.3380264741275572,8,2.0300305
8,SEAFOOD-PCKGD,50,4.444149486130532,0.23554913294797689,8,1.9810768
8,SPIRITS,15,9.818000000000001,0.0,8,2.086642
8,TRAVEL & LEISUR,3,3.2566666666666664,0.0,8,1.8344157
9,CHEF SHOPPE,3,3.74,0.0,9,1.9323033
9,COSMETICS,40,4.29753730595325,0.12427404019119083,9,1.9810768
9,COUP/STR & MFG,1,0.0021392087411664174,0.0,9,-0.9762704
9,DELI,288,3.69294776119403,0.0657522069909106,9,1.9323033
9,DRUG GM,1389,2.9525565538497522,0.08829722203355293,9,1.7396044
9,FLORAL,44,4.856818181818182,0.0,9,1.96301
9,FROZEN GROCERY,7,1.0116666666666667,0.0,9,0.7192064
9,GARDEN CENTER,12,3.86,0.3661733615221987,9,1.8730357
9,GROCERY,8956,2.069781140330771,0.1955466341218912,9,1.5465298
9,KIOSK-GAS,672841,0.4368288083611157,0.030674478443845972,9,-0.43047607
9,MEAT,450,5.067825626204239,0.15073261234975102,9,1.9810768
9,MEAT-PCKGD,611,3.06719587628866,0.18183907728942278,9,1.7996762
9,MISC SALES TRAN,156846,1.4853000188595944,0.013674167049339252,9,1.1449802
9,MISC. TRANS.,11,2.85875,0.0,9,1.7395557
9,NUTRITION,162,2.3609333333333336,0.07919413726983794,9,1.6618464
9,PASTRY,231,2.834813945769022,0.14270728957915832,9,1.7086538
9,PRODUCE,1298,1.8568694041867957,0.15147332342929334,9,1.3453298
9,SALAD BAR,55,3.2706481481481484,0.0,9,1.8344157
9,SEAFOOD,17,4.94525641025641,0.3118270000889917,9,2.0300305
9,SEAFOOD-PCKGD,42,4.1220376005141866,0.23618583995217354,9,1.9217693
9,SPIRITS,9,10.105,0.0,9,2.0800416
9,TRAVEL & LEISUR,4,4.55,0.0,9,1.96301
10,AUTOMOTIVE,1,15.23,0.0,10,2.1371503
10,COSMETICS,43,2.0814819604370585,0.12274260766025004,10,1.5465298
10,COUP/STR & MFG,16,0.03325550819484352,0.36708860759493667,10,-0.93296385
10,DELI,348,3.913907692307692,0.05421560695254304,10,1.9446461
10,DRUG GM,1782,3.343253431023678,0.0738990243730966,10,1.8305781
10,FLORAL,31,8.449,0.0015866719555731855,10,2.0483067
10,FROZEN GROCERY,4,0.295,0.11940298507462688,10,-0.7633351
10,GARDEN CENTER,69,5.84248755892211,0.38606892020835615,10,2.051845
10,GROCERY,11189,2.1191197681603535,0.2124111889214247,10,1.4917362
10,KIOSK-GAS,901749,0.7058951652604586,0.026324563944749028,10,0.1282704
10,MEAT,674,5.483059133706834,0.19893505548321475,10,2.0175557
10,MEAT-PCKGD,856,3.13762285255771,0.2174220418952772,10,1.7701302
10,MISC SALES TRAN,111068,3.23640593987957,0.015668734670321743,10,1.8344157
10,MISC. TRANS.,16,2.3623076923076924,0.0,10,1.6913923
10,NUTRITION,237,1.8635454545454546,0.14023775058121682,10,1.3453298
10,PASTRY,253,2.982051574700563,0.11781543547498421,10,1.7983587
10,PRODUCE,2040,1.973379446598889,0.05681447253757535,10,1.4301585
10,RESTAURANT,2,6.535,0.0,10,2.0167952
10,SALAD BAR,65,3.0316724137931033,0.06496553746883708,10,1.760492
10,SEAFOOD,23,7.441666666666667,0.2206629243517776,10,2.0516653
10,SEAFOOD-PCKGD,46,4.937293137072136,0.21889400921658989,10,1.9810768
10,SPIRITS,14,8.961538461538462,0.0,10,2.0483067
10,TRAVEL & LEISUR,2,4.385,0.0,10,1.9446461
11,AUTOMOTIVE,1,0.5,0.0,11,-0.24925137
11,CHEF SHOPPE,7,3.59,0.0,11,1.8838646
11,COSMETICS,43,3.468962324433893,0.12929662166145864,11,1.8436815
11,COUP/STR & MFG,9,0.16809280582744426,0.36708860759493667,11,-0.86847085
11,DELI,489,3.813176406926407,0.052219539833472925,11,1.9446461
11,DRUG GM,2569,3.088746864112992,0.09899658023905075,11,1.7983587
11,FLORAL,29,7.95375,0.0,11,2.0483067
11,FROZEN GROCERY,1,1.69,0.0,11,1.2935008
11,GARDEN CENTER,7,8.53,0.0,11,2.0483067
11,GROCERY,13534,2.117651093653963,0.179765912206639,11,1.5465298
11,KIOSK-GAS,1169007,0.3791163798575533,0.03206185567010309,11,-0.5996529
11,MEAT,862,4.879144729802033,0.18141300624704365,11,1.9810768
11,MEAT-PCKGD,1101,3.1999632709842305,0.18608417797125665,11,1.7996762
11,MISC SALES TRAN,123628,2.2494100207634786,0.028917738263705164,11,1.6049738
11,MISC. TRANS.,6,2.44,0.0,11,1.6913923
11,NUTRITION,194,2.338945147679325,0.0866950797535657,11,1.662607
11,PASTRY,403,2.5498104125847587,0.15321512081060013,11,1.662607
11,PRODUCE,2174,1.8611081153825126,0.0853627346462296,11,1.2644286
11,RESTAURANT,1,0.7,0.0,11,0.11525874
11,SALAD BAR,66,2.85125,0.02015625,11,1.7712668
11,SEAFOOD,32,5.520666666666667,0.2714123533616449,11,2.029851
11,SEAFOOD-PCKGD,73,4.585852824011063,0.19817588937651703,11,1.962713
11,SPIRITS,14,7.821818181818182,0.0,11,2.0483067
11,TRAVEL & LEISUR,9,2.018888888888889,0.0,11,1.3821499
11,VIDEO RENTAL,2,1.495,0.5,11,1.2805102
12,CHEF SHOPPE,1,3.99,0.0,12,1.9446461
12,COSMETICS,76,3.9757543216192204,0.11793514631623776,12,1.9454067
12,COUP/STR & MFG,6,0.5834493406176388,0.0,12,-0.19341391
12,DELI,487,3.7482207697893974,0.06799242714185841,12,1.9454067
12,DRUG GM,2433,3.089973488520331,0.0753193462565702,12,1.792915
12,FLORAL,38,6.360571428571428,0.020825508117357373,12,2.0167952
12,FROZEN GROCERY,8,0.3175,0.04868913857677903,12,-0.72318673
12,GARDEN CENTER,14,4.311213920874117,0.17539832568187955,12,1.962713
12,GROCERY,14645,2.1116163566626183,0.20132531323603003,12,1.4917362
12,KIOSK-GAS,1006250,0.3986472230727122,0.02533053784604852,12,-0.44826743
12,MEAT,810,4.910880648591175,0.2102857237671733,12,1.962713
12,MEAT-PCKGD,1063,3.1503093438272827,0.18783904433224907,12,1.8107015
12,MISC SALES TRAN,209357,2.707079158709949,0.023352862239387297,12,1.6913923
12,MISC. TRANS.,6,4.001666666666667,0.058800470403763225,12,1.9454067
12,NUTRITION,252,2.1262041884816756,0.12231131253268258,12,1.5763625
12,PASTRY,348,2.6378707169227993,0.16798654425678045,12,1.662607
12,PORK,1,7.96,0.0,12,2.0483067
12,PRODUCE,2163,1.9449804998922646,0.09495496821774818,12,1.3751625
12,SALAD BAR,95,3.1698903508771927,0.01751758723967403,12,1.7921544
12,SEAFOOD,36,5.498583333333333,0.4093305299082793,12,2.0300305
12,SEAFOOD-PCKGD,91,4.373762524066777,0.24673442430468923,12,1.962713
12,SPIRITS,13,10.116153846153846,0.0,12,2.0800416
12,TRAVEL & LEISUR,4,2.885,0.0,12,1.7712668
13,AUTOMOTIVE,2,8.245000000000001,0.0,13,2.0483067
13,COSMETICS,59,3.266366428942595,0.19827990617670052,13,1.812019
