decile,n,treated_rate,control_rate,uplift_rate
0,2030.0,0.5897435897435898,0.6839139344262295,-0.09417034468263974
1,2029.0,0.8053097345132744,0.8241127348643006,-0.018803000351026222
2,2029.0,0.8623853211009175,0.8520833333333333,0.010301987767584175
3,2029.0,0.8609271523178808,0.8913738019169329,-0.03044664959905219
4,2029.0,0.8984375,0.9368753287743293,-0.03843782877432933
5,2029.0,0.93,0.92016588906169,0.009834110938310103
6,2029.0,0.9310344827586207,0.9294541709577755,0.0015803118008451689
7,2029.0,0.9705882352941176,0.9449260581336053,0.025662177160512334
8,2029.0,0.9814814814814815,0.9615189873417721,0.019962494139709408
9,2030.0,0.9714285714285714,0.9859649122807017,-0.014536340852130292
